image_id,shift,machine_temp,vibration,humidity,has_defect,defect_type
product_0047.jpg,Morning,66.4,1.63,63.4,1,Surface Crack
product_0048.jpg,Night,80.8,0.86,59.0,0,None
product_0049.jpg,Evening,71.0,2.6,76.1,1,Surface Crack
product_0050.jpg,Morning,90.8,0.88,45.0,1,Thermal Scratch
product_0051.jpg,Night,77.4,1.51,38.5,1,Surface Crack
product_0052.jpg,Evening,80.2,1.28,48.8,1,Thermal Scratch
product_0053.jpg,Night,78.8,2.47,64.9,1,Thermal Scratch
product_0054.jpg,Evening,74.8,0.74,66.3,1,Surface Crack
product_0055.jpg,Night,85.0,3.52,79.6,1,Thermal Scratch
product_0056.jpg,Night,82.7,2.65,79.8,0,None
product_0057.jpg,Morning,93.1,2.04,63.5,1,Thermal Scratch
product_0058.jpg,Morning,83.1,1.21,60.6,1,Thermal Scratch
product_0059.jpg,Evening,82.0,1.34,34.4,1,Thermal Scratch
product_0060.jpg,Morning,74.2,3.65,31.7,1,Vibration Chatter
product_0061.jpg,Morning,69.5,2.72,58.8,1,Surface Crack
product_0062.jpg,Morning,71.4,3.13,62.1,1,Vibration Chatter
product_0063.jpg,Morning,93.5,1.68,39.1,1,Thermal Scratch
product_0064.jpg,Evening,77.4,2.7,57.6,1,Surface Crack
product_0065.jpg,Evening,86.8,3.19,55.6,0,None
product_0066.jpg,Evening,61.4,1.23,54.5,0,None
product_0067.jpg,Night,72.3,2.04,57.3,0,None
product_0068.jpg,Morning,81.0,4.35,39.0,1,Thermal Scratch
product_0069.jpg,Morning,81.8,2.29,66.6,1,Thermal Scratch
product_0070.jpg,Morning,67.8,2.34,45.0,1,Surface Crack
product_0071.jpg,Morning,60.4,4.34,44.5,1,Vibration Chatter
product_0072.jpg,Night,74.9,3.23,35.9,0,None
product_0073.jpg,Morning,87.1,0.64,66.2,1,Thermal Scratch
product_0074.jpg,Morning,81.6,0.81,38.6,0,None
product_0075.jpg,Morning,77.3,4.08,55.1,1,Vibration Chatter
product_0076.jpg,Night,78.2,4.32,56.6,1,Thermal Scratch
product_0077.jpg,Night,71.9,3.86,68.1,0,None
product_0078.jpg,Night,88.8,2.03,56.3,0,None
product_0079.jpg,Evening,63.8,1.38,58.2,1,Surface Crack
product_0080.jpg,Night,62.3,0.74,30.9,0,None
product_0081.jpg,Evening,65.4,2.41,32.9,1,Surface Crack
product_0082.jpg,Evening,80.6,2.03,39.0,1,Thermal Scratch
product_0083.jpg,Morning,92.8,0.81,49.5,0,None
product_0084.jpg,Night,82.7,0.6,52.1,0,None
product_0085.jpg,Evening,88.5,1.34,34.4,1,Thermal Scratch
product_0086.jpg,Morning,92.9,2.82,63.5,1,Thermal Scratch
product_0087.jpg,Evening,90.5,4.32,34.4,1,Thermal Scratch
product_0088.jpg,Night,74.9,2.95,37.2,0,None
product_0089.jpg,Night,62.5,4.24,76.6,0,None
product_0090.jpg,Night,88.1,1.03,54.4,0,None
product_0091.jpg,Evening,72.8,1.04,66.3,0,None
product_0092.jpg,Evening,84.0,1.65,52.1,1,Thermal Scratch
product_0093.jpg,Night,82.3,2.58,51.1,1,Thermal Scratch
product_0094.jpg,Night,76.4,2.73,68.7,0,None
product_0095.jpg,Night,86.8,2.13,52.8,1,Thermal Scratch
product_0096.jpg,Morning,93.0,2.77,38.2,1,Thermal Scratch
product_0097.jpg,Evening,70.6,3.3,58.5,0,None
product_0098.jpg,Evening,79.7,1.13,50.5,1,Thermal Scratch
product_0099.jpg,Evening,66.4,2.64,54.5,0,None
product_0100.jpg,Morning,68.9,0.79,78.6,1,Surface Crack
product_0101.jpg,Morning,93.0,4.26,38.2,1,Thermal Scratch
product_0102.jpg,Evening,85.3,1.37,38.3,0,None
product_0103.jpg,Evening,71.6,2.67,45.3,1,Surface Crack
product_0104.jpg,Morning,78.7,1.44,48.4,1,Thermal Scratch
product_0105.jpg,Night,67.7,0.95,56.1,1,Surface Crack
product_0106.jpg,Morning,77.7,2.46,45.3,0,None
product_0107.jpg,Night,93.9,2.48,79.1,1,Thermal Scratch
product_0108.jpg,Morning,62.8,2.04,46.1,1,Surface Crack
product_0109.jpg,Morning,61.3,1.27,32.9,1,Surface Crack
product_0110.jpg,Morning,84.0,4.05,52.4,1,Thermal Scratch
product_0111.jpg,Night,71.3,4.3,65.3,0,None
product_0112.jpg,Morning,90.6,1.92,43.9,1,Thermal Scratch
product_0113.jpg,Evening,82.3,2.74,42.2,0,None
product_0114.jpg,Evening,90.5,1.16,49.1,1,Thermal Scratch
product_0115.jpg,Evening,83.0,1.02,74.2,1,Thermal Scratch
product_0116.jpg,Evening,79.9,1.43,61.9,1,Thermal Scratch
product_0117.jpg,Evening,83.9,2.21,77.5,1,Thermal Scratch
product_0118.jpg,Morning,76.9,3.85,75.9,0,None
product_0119.jpg,Evening,87.8,1.88,80.0,1,Thermal Scratch
